player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Alperen Sengun,player_assists,6.5,-146.0,fanduel,0.5934959349593496,110.0,fanduel,0.47619047619047616,1.0696864111498257,-6.514657980456018,False,,,,,,,Don't bet - bookmaker has edge,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,1
Amen Thompson,player_assists,5.5,-114.0,fanduel,0.5327102803738317,-114.0,fanduel,0.5327102803738317,1.0654205607476634,-6.140350877192969,False,,,,,,,Don't bet - bookmaker has edge,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,1
Andrew Nembhard,player_assists,6.5,100.0,fanatics,0.5,-130.0,fanatics,0.5652173913043478,1.0652173913043477,-6.122448979591821,False,,,,,,,Don't bet - bookmaker has edge,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,2
Andrew Wiggins,player_assists,2.5,122.0,draftkings,0.45045045045045046,-161.0,draftkings,0.6168582375478927,1.067308687998343,-6.306393713010571,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,2
Anthony Edwards,player_assists,4.5,-120.0,fanduel,0.5454545454545454,100.0,fanatics,0.5,1.0454545454545454,-4.347826086956519,False,,,,,,,Don't bet - bookmaker has edge,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,4
Ayo Dosunmu,player_assists,3.5,-118.0,draftkings,0.5412844036697247,-110.0,fanatics,0.5238095238095238,1.0650939274792486,-6.111566858080398,False,,,,,,,Don't bet - bookmaker has edge,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,2
Bam Adebayo,player_assists,2.5,-150.0,fanatics,0.6,118.0,draftkings,0.45871559633027525,1.0587155963302752,-5.54592720970537,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,2
Brandon Ingram,player_assists,3.5,-160.0,draftkings,0.6153846153846154,121.0,draftkings,0.45248868778280543,1.0678733031674208,-6.355932203389825,False,,,,,,,Don't bet - bookmaker has edge,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,2
Brandon Williams,player_assists,4.5,-124.0,draftkings,0.5535714285714286,100.0,fanatics,0.5,1.0535714285714286,-5.0847457627118615,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,2
Bruce Brown,player_assists,1.5,-164.0,draftkings,0.6212121212121212,124.0,draftkings,0.44642857142857145,1.0676406926406927,-6.335529650278771,False,,,,,,,Don't bet - bookmaker has edge,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2
Cade Cunningham,player_assists,10.5,104.0,draftkings,0.49019607843137253,-130.0,fanatics,0.5652173913043478,1.0554134697357203,-5.25040387722131,False,,,,,,,Don't bet - bookmaker has edge,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,2
Cameron Johnson,player_assists,2.5,-105.0,draftkings,0.5121951219512195,-125.0,fanatics,0.5555555555555556,1.067750677506775,-6.345177664974622,False,,,,,,,Don't bet - bookmaker has edge,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2
Cedric Coward,player_assists,2.5,-149.0,draftkings,0.5983935742971888,120.0,fanatics,0.45454545454545453,1.0529390288426432,-5.02773925104022,False,,,,,,,Don't bet - bookmaker has edge,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2
Coby White,player_assists,4.5,-141.0,draftkings,0.5850622406639004,111.0,williamhill_us,0.47393364928909953,1.058995889953,-5.570927187981667,False,,,,,,,Don't bet - bookmaker has edge,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,3
Coby White,player_assists,5.5,128.0,fanduel,0.43859649122807015,-172.0,fanduel,0.6323529411764706,1.0709494324045408,-6.624909660322819,False,,,,,,,Don't bet - bookmaker has edge,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,1
Collin Gillespie,player_assists,5.5,-118.0,fanduel,0.5412844036697247,-112.0,fanduel,0.5283018867924528,1.0695862904621776,-6.505907104709497,False,,,,,,,Don't bet - bookmaker has edge,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,1
Cooper Flagg,player_assists,3.5,-130.0,fanatics,0.5652173913043478,101.0,draftkings,0.4975124378109453,1.0627298291152931,-5.902707103602689,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,2
